Title,Occurence,HolidayDate,"Pay and Leave Holiday Date (if SAT, then FRI if SUN  then MON)",Month,Day,Year,WeekDay
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/39,1/17/39,1,17,2039,2
Washington's Birthday,Third Monday in Feb,2/21/39,2/21/39,2,21,2039,2
Memorial Day,Last Monday in May,5/23/39,5/23/39,5,23,2039,2
Juneteenth National Independence Day,Annual,6/19/39,6/20/39,6,19,2039,1
Independence Day,Annual,7/4/39,7/4/39,7,4,2039,2
Labor Day,First Monday in Sept,9/5/39,9/5/39,9,5,2039,2
Columbus Day,Second Monday in Oct,10/10/39,10/10/39,10,10,2039,2
Veterans Day,Annual,11/11/39,11/11/39,11,11,2039,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/39,11/24/39,11,24,2039,5
Christmas Day,Annual,12/25/39,12/26/39,12,25,2039,1
New Year's Day,Year Start,1/1/40,1/2/40,1,1,2040,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/40,1/16/40,1,16,2040,2
Washington's Birthday,Third Monday in Feb,2/20/40,2/20/40,2,20,2040,2
Memorial Day,Last Monday in May,5/28/40,5/28/40,5,28,2040,2
Juneteenth National Independence Day,Annual,6/19/40,6/19/40,6,19,2040,3
Independence Day,Annual,7/4/40,7/4/40,7,4,2040,4
Labor Day,First Monday in Sept,9/3/40,9/3/40,9,3,2040,2
Columbus Day,Second Monday in Oct,10/8/40,10/8/40,10,8,2040,2
Veterans Day,Annual,11/11/40,11/12/40,11,11,2040,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/40,11/22/40,11,22,2040,5
Christmas Day,Annual,12/25/40,12/25/40,12,25,2040,3
New Year's Day,Year Start,1/1/41,1/1/41,1,1,2041,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/41,1/21/41,1,21,2041,2
Washington's Birthday,Third Monday in Feb,2/18/41,2/18/41,2,18,2041,2
Memorial Day,Last Monday in May,5/27/41,5/27/41,5,27,2041,2
Juneteenth National Independence Day,Annual,6/19/41,6/19/41,6,19,2041,4
Independence Day,Annual,7/4/41,7/4/41,7,4,2041,5
Labor Day,First Monday in Sept,9/2/41,9/2/41,9,2,2041,2
Columbus Day,Second Monday in Oct,10/14/41,10/14/41,10,14,2041,2
Veterans Day,Annual,11/11/41,11/11/41,11,11,2041,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/41,11/28/41,11,28,2041,5
Christmas Day,Annual,12/25/41,12/25/41,12,25,2041,4
New Year's Day,Year Start,1/1/42,1/1/42,1,1,2042,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/42,1/20/42,1,20,2042,2
Washington's Birthday,Third Monday in Feb,2/17/42,2/17/42,2,17,2042,2
Memorial Day,Last Monday in May,5/26/42,5/26/42,5,26,2042,2
Juneteenth National Independence Day,Annual,6/19/42,6/19/42,6,19,2042,5
Independence Day,Annual,7/4/42,7/4/42,7,4,2042,6
Labor Day,First Monday in Sept,9/1/42,9/1/42,9,1,2042,2
Columbus Day,Second Monday in Oct,10/13/42,10/13/42,10,13,2042,2
Veterans Day,Annual,11/11/42,11/11/42,11,11,2042,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/42,11/27/42,11,27,2042,5
Christmas Day,Annual,12/25/42,12/25/42,12,25,2042,5
New Year's Day,Year Start,1/1/43,1/1/43,1,1,2043,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/43,1/19/43,1,19,2043,2
Washington's Birthday,Third Monday in Feb,2/16/43,2/16/43,2,16,2043,2
Memorial Day,Last Monday in May,5/25/43,5/25/43,5,25,2043,2
Juneteenth National Independence Day,Annual,6/19/43,6/19/43,6,19,2043,6
Independence Day,Annual,7/4/43,7/3/43,7,4,2043,7
Labor Day,First Monday in Sept,9/7/43,9/7/43,9,7,2043,2
Columbus Day,Second Monday in Oct,10/12/43,10/12/43,10,12,2043,2
Veterans Day,Annual,11/11/43,11/11/43,11,11,2043,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/43,11/26/43,11,26,2043,5
Christmas Day,Annual,12/25/43,12/25/43,12,25,2043,6
New Year's Day,Year Start,1/1/44,1/1/44,1,1,2044,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/44,1/18/44,1,18,2044,2
Washington's Birthday,Third Monday in Feb,2/15/44,2/15/44,2,15,2044,2
Memorial Day,Last Monday in May,5/23/44,5/23/44,5,23,2044,2
Juneteenth National Independence Day,Annual,6/19/44,6/20/44,6,19,2044,1
Independence Day,Annual,7/4/44,7/4/44,7,4,2044,2
Labor Day,First Monday in Sept,9/5/44,9/5/44,9,5,2044,2
Columbus Day,Second Monday in Oct,10/10/44,10/10/44,10,10,2044,2
Veterans Day,Annual,11/11/44,11/11/44,11,11,2044,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/44,11/24/44,11,24,2044,5
Christmas Day,Annual,12/25/44,12/26/44,12,25,2044,1
New Year's Day,Year Start,1/1/45,1/2/45,1,1,2045,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/45,1/16/45,1,16,2045,2
Washington's Birthday,Third Monday in Feb,2/20/45,2/20/45,2,20,2045,2
Memorial Day,Last Monday in May,5/22/45,5/22/45,5,22,2045,2
Juneteenth National Independence Day,Annual,6/19/45,6/19/45,6,19,2045,2
Independence Day,Annual,7/4/45,7/4/45,7,4,2045,3
Labor Day,First Monday in Sept,9/4/45,9/4/45,9,4,2045,2
Columbus Day,Second Monday in Oct,10/9/45,10/9/45,10,9,2045,2
Veterans Day,Annual,11/11/45,11/10/45,11,11,2045,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/45,11/23/45,11,23,2045,5
Christmas Day,Annual,12/25/45,12/25/45,12,25,2045,2
New Year's Day,Year Start,1/1/46,1/1/46,1,1,2046,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/46,1/15/46,1,15,2046,2
Washington's Birthday,Third Monday in Feb,2/19/46,2/19/46,2,19,2046,2
Memorial Day,Last Monday in May,5/28/46,5/28/46,5,28,2046,2
Juneteenth National Independence Day,Annual,6/19/46,6/19/46,6,19,2046,3
Independence Day,Annual,7/4/46,7/4/46,7,4,2046,4
Labor Day,First Monday in Sept,9/3/46,9/3/46,9,3,2046,2
Columbus Day,Second Monday in Oct,10/8/46,10/8/46,10,8,2046,2
Veterans Day,Annual,11/11/46,11/12/46,11,11,2046,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/46,11/22/46,11,22,2046,5
Christmas Day,Annual,12/25/46,12/25/46,12,25,2046,3
New Year's Day,Year Start,1/1/47,1/1/47,1,1,2047,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/47,1/21/47,1,21,2047,2
Washington's Birthday,Third Monday in Feb,2/18/47,2/18/47,2,18,2047,2
Memorial Day,Last Monday in May,5/27/47,5/27/47,5,27,2047,2
Juneteenth National Independence Day,Annual,6/19/47,6/19/47,6,19,2047,4
Independence Day,Annual,7/4/47,7/4/47,7,4,2047,5
Labor Day,First Monday in Sept,9/2/47,9/2/47,9,2,2047,2
Columbus Day,Second Monday in Oct,10/14/47,10/14/47,10,14,2047,2
Veterans Day,Annual,11/11/47,11/11/47,11,11,2047,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/47,11/28/47,11,28,2047,5
Christmas Day,Annual,12/25/47,12/25/47,12,25,2047,4
New Year's Day,Year Start,1/1/48,1/1/48,1,1,2048,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/48,1/20/48,1,20,2048,2
Washington's Birthday,Third Monday in Feb,2/17/48,2/17/48,2,17,2048,2
Memorial Day,Last Monday in May,5/25/48,5/25/48,5,25,2048,2
Juneteenth National Independence Day,Annual,6/19/48,6/19/48,6,19,2048,6
Independence Day,Annual,7/4/48,7/3/48,7,4,2048,7
Labor Day,First Monday in Sept,9/7/48,9/7/48,9,7,2048,2
Columbus Day,Second Monday in Oct,10/12/48,10/12/48,10,12,2048,2
Veterans Day,Annual,11/11/48,11/11/48,11,11,2048,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/48,11/26/48,11,26,2048,5
Christmas Day,Annual,12/25/48,12/25/48,12,25,2048,6
New Year's Day,Year Start,1/1/49,1/1/49,1,1,2049,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/49,1/18/49,1,18,2049,2
Washington's Birthday,Third Monday in Feb,2/15/49,2/15/49,2,15,2049,2
Memorial Day,Last Monday in May,5/24/49,5/24/49,5,24,2049,2
Juneteenth National Independence Day,Annual,6/19/49,6/18/49,6,19,2049,7
Independence Day,Annual,7/4/49,7/5/49,7,4,2049,1
Labor Day,First Monday in Sept,9/6/49,9/6/49,9,6,2049,2
Columbus Day,Second Monday in Oct,10/11/49,10/11/49,10,11,2049,2
Veterans Day,Annual,11/11/49,11/11/49,11,11,2049,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/49,11/25/49,11,25,2049,5
Christmas Day,Annual,12/25/49,12/24/49,12,25,2049,7
New Year's Day,Year Start,1/1/50,12/31/49,1,1,2050,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/50,1/17/50,1,17,2050,2
Washington's Birthday,Third Monday in Feb,2/21/50,2/21/50,2,21,2050,2
Memorial Day,Last Monday in May,5/23/50,5/23/50,5,23,2050,2
Juneteenth National Independence Day,Annual,6/19/50,6/20/50,6,19,2050,1
Independence Day,Annual,7/4/50,7/4/50,7,4,2050,2
Labor Day,First Monday in Sept,9/5/50,9/5/50,9,5,2050,2
Columbus Day,Second Monday in Oct,10/10/50,10/10/50,10,10,2050,2
Veterans Day,Annual,11/11/50,11/11/50,11,11,2050,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/50,11/24/50,11,24,2050,5
Christmas Day,Annual,12/25/50,12/26/50,12,25,2050,1
New Year's Day,Year Start,1/1/51,1/2/51,1,1,2051,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/51,1/16/51,1,16,2051,2
Washington's Birthday,Third Monday in Feb,2/20/51,2/20/51,2,20,2051,2
Memorial Day,Last Monday in May,5/22/51,5/22/51,5,22,2051,2
Juneteenth National Independence Day,Annual,6/19/51,6/19/51,6,19,2051,2
Independence Day,Annual,7/4/51,7/4/51,7,4,2051,3
Labor Day,First Monday in Sept,9/4/51,9/4/51,9,4,2051,2
Columbus Day,Second Monday in Oct,10/9/51,10/9/51,10,9,2051,2
Veterans Day,Annual,11/11/51,11/10/51,11,11,2051,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/51,11/23/51,11,23,2051,5
Christmas Day,Annual,12/25/51,12/25/51,12,25,2051,2
New Year's Day,Year Start,1/1/52,1/1/52,1,1,2052,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/52,1/15/52,1,15,2052,2
Washington's Birthday,Third Monday in Feb,2/19/52,2/19/52,2,19,2052,2
Memorial Day,Last Monday in May,5/27/52,5/27/52,5,27,2052,2
Juneteenth National Independence Day,Annual,6/19/52,6/19/52,6,19,2052,4
Independence Day,Annual,7/4/52,7/4/52,7,4,2052,5
Labor Day,First Monday in Sept,9/2/52,9/2/52,9,2,2052,2
Columbus Day,Second Monday in Oct,10/14/52,10/14/52,10,14,2052,2
Veterans Day,Annual,11/11/52,11/11/52,11,11,2052,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/52,11/28/52,11,28,2052,5
Christmas Day,Annual,12/25/52,12/25/52,12,25,2052,4
New Year's Day,Year Start,1/1/53,1/1/53,1,1,2053,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/53,1/20/53,1,20,2053,2
Washington's Birthday,Third Monday in Feb,2/17/53,2/17/53,2,17,2053,2
Memorial Day,Last Monday in May,5/26/53,5/26/53,5,26,2053,2
Juneteenth National Independence Day,Annual,6/19/53,6/19/53,6,19,2053,5
Independence Day,Annual,7/4/53,7/4/53,7,4,2053,6
Labor Day,First Monday in Sept,9/1/53,9/1/53,9,1,2053,2
Columbus Day,Second Monday in Oct,10/13/53,10/13/53,10,13,2053,2
Veterans Day,Annual,11/11/53,11/11/53,11,11,2053,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/53,11/27/53,11,27,2053,5
Christmas Day,Annual,12/25/53,12/25/53,12,25,2053,5
New Year's Day,Year Start,1/1/54,1/1/54,1,1,2054,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/54,1/19/54,1,19,2054,2
Washington's Birthday,Third Monday in Feb,2/16/54,2/16/54,2,16,2054,2
Memorial Day,Last Monday in May,5/25/54,5/25/54,5,25,2054,2
Juneteenth National Independence Day,Annual,6/19/54,6/19/54,6,19,2054,6
Independence Day,Annual,7/4/54,7/3/54,7,4,2054,7
Labor Day,First Monday in Sept,9/7/54,9/7/54,9,7,2054,2
Columbus Day,Second Monday in Oct,10/12/54,10/12/54,10,12,2054,2
Veterans Day,Annual,11/11/54,11/11/54,11,11,2054,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/54,11/26/54,11,26,2054,5
Christmas Day,Annual,12/25/54,12/25/54,12,25,2054,6
New Year's Day,Year Start,1/1/55,1/1/55,1,1,2055,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/55,1/18/55,1,18,2055,2
Washington's Birthday,Third Monday in Feb,2/15/55,2/15/55,2,15,2055,2
Memorial Day,Last Monday in May,5/24/55,5/24/55,5,24,2055,2
Juneteenth National Independence Day,Annual,6/19/55,6/18/55,6,19,2055,7
Independence Day,Annual,7/4/55,7/5/55,7,4,2055,1
Labor Day,First Monday in Sept,9/6/55,9/6/55,9,6,2055,2
Columbus Day,Second Monday in Oct,10/11/55,10/11/55,10,11,2055,2
Veterans Day,Annual,11/11/55,11/11/55,11,11,2055,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/55,11/25/55,11,25,2055,5
Christmas Day,Annual,12/25/55,12/24/55,12,25,2055,7
New Year's Day,Year Start,1/1/56,12/31/55,1,1,2056,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/56,1/17/56,1,17,2056,2
Washington's Birthday,Third Monday in Feb,2/21/56,2/21/56,2,21,2056,2
Memorial Day,Last Monday in May,5/22/56,5/22/56,5,22,2056,2
Juneteenth National Independence Day,Annual,6/19/56,6/19/56,6,19,2056,2
Independence Day,Annual,7/4/56,7/4/56,7,4,2056,3
Labor Day,First Monday in Sept,9/4/56,9/4/56,9,4,2056,2
Columbus Day,Second Monday in Oct,10/9/56,10/9/56,10,9,2056,2
Veterans Day,Annual,11/11/56,11/10/56,11,11,2056,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/56,11/23/56,11,23,2056,5
Christmas Day,Annual,12/25/56,12/25/56,12,25,2056,2
New Year's Day,Year Start,1/1/57,1/1/57,1,1,2057,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/57,1/15/57,1,15,2057,2
Washington's Birthday,Third Monday in Feb,2/19/57,2/19/57,2,19,2057,2
Memorial Day,Last Monday in May,5/28/57,5/28/57,5,28,2057,2
Juneteenth National Independence Day,Annual,6/19/57,6/19/57,6,19,2057,3
Independence Day,Annual,7/4/57,7/4/57,7,4,2057,4
Labor Day,First Monday in Sept,9/3/57,9/3/57,9,3,2057,2
Columbus Day,Second Monday in Oct,10/8/57,10/8/57,10,8,2057,2
Veterans Day,Annual,11/11/57,11/12/57,11,11,2057,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/57,11/22/57,11,22,2057,5
Christmas Day,Annual,12/25/57,12/25/57,12,25,2057,3
New Year's Day,Year Start,1/1/58,1/1/58,1,1,2058,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/58,1/21/58,1,21,2058,2
Washington's Birthday,Third Monday in Feb,2/18/58,2/18/58,2,18,2058,2
Memorial Day,Last Monday in May,5/27/58,5/27/58,5,27,2058,2
Juneteenth National Independence Day,Annual,6/19/58,6/19/58,6,19,2058,4
Independence Day,Annual,7/4/58,7/4/58,7,4,2058,5
Labor Day,First Monday in Sept,9/2/58,9/2/58,9,2,2058,2
Columbus Day,Second Monday in Oct,10/14/58,10/14/58,10,14,2058,2
Veterans Day,Annual,11/11/58,11/11/58,11,11,2058,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/58,11/28/58,11,28,2058,5
Christmas Day,Annual,12/25/58,12/25/58,12,25,2058,4
New Year's Day,Year Start,1/1/59,1/1/59,1,1,2059,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/59,1/20/59,1,20,2059,2
Washington's Birthday,Third Monday in Feb,2/17/59,2/17/59,2,17,2059,2
Memorial Day,Last Monday in May,5/26/59,5/26/59,5,26,2059,2
Juneteenth National Independence Day,Annual,6/19/59,6/19/59,6,19,2059,5
Independence Day,Annual,7/4/59,7/4/59,7,4,2059,6
Labor Day,First Monday in Sept,9/1/59,9/1/59,9,1,2059,2
Columbus Day,Second Monday in Oct,10/13/59,10/13/59,10,13,2059,2
Veterans Day,Annual,11/11/59,11/11/59,11,11,2059,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/59,11/27/59,11,27,2059,5
Christmas Day,Annual,12/25/59,12/25/59,12,25,2059,5
New Year's Day,Year Start,1/1/60,1/1/60,1,1,2060,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/60,1/19/60,1,19,2060,2
Washington's Birthday,Third Monday in Feb,2/16/60,2/16/60,2,16,2060,2
Memorial Day,Last Monday in May,5/24/60,5/24/60,5,24,2060,2
Juneteenth National Independence Day,Annual,6/19/60,6/18/60,6,19,2060,7
Independence Day,Annual,7/4/60,7/5/60,7,4,2060,1
Labor Day,First Monday in Sept,9/6/60,9/6/60,9,6,2060,2
Columbus Day,Second Monday in Oct,10/11/60,10/11/60,10,11,2060,2
Veterans Day,Annual,11/11/60,11/11/60,11,11,2060,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/60,11/25/60,11,25,2060,5
Christmas Day,Annual,12/25/60,12/24/60,12,25,2060,7
New Year's Day,Year Start,1/1/61,12/31/60,1,1,2061,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/61,1/17/61,1,17,2061,2
Washington's Birthday,Third Monday in Feb,2/21/61,2/21/61,2,21,2061,2
Memorial Day,Last Monday in May,5/23/61,5/23/61,5,23,2061,2
Juneteenth National Independence Day,Annual,6/19/61,6/20/61,6,19,2061,1
Independence Day,Annual,7/4/61,7/4/61,7,4,2061,2
Labor Day,First Monday in Sept,9/5/61,9/5/61,9,5,2061,2
Columbus Day,Second Monday in Oct,10/10/61,10/10/61,10,10,2061,2
Veterans Day,Annual,11/11/61,11/11/61,11,11,2061,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/61,11/24/61,11,24,2061,5
Christmas Day,Annual,12/25/61,12/26/61,12,25,2061,1
New Year's Day,Year Start,1/1/62,1/2/62,1,1,2062,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/62,1/16/62,1,16,2062,2
Washington's Birthday,Third Monday in Feb,2/20/62,2/20/62,2,20,2062,2
Memorial Day,Last Monday in May,5/22/62,5/22/62,5,22,2062,2
Juneteenth National Independence Day,Annual,6/19/62,6/19/62,6,19,2062,2
Independence Day,Annual,7/4/62,7/4/62,7,4,2062,3
Labor Day,First Monday in Sept,9/4/62,9/4/62,9,4,2062,2
Columbus Day,Second Monday in Oct,10/9/62,10/9/62,10,9,2062,2
Veterans Day,Annual,11/11/62,11/10/62,11,11,2062,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/62,11/23/62,11,23,2062,5
Christmas Day,Annual,12/25/62,12/25/62,12,25,2062,2
New Year's Day,Year Start,1/1/63,1/1/63,1,1,2063,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/63,1/15/63,1,15,2063,2
Washington's Birthday,Third Monday in Feb,2/19/63,2/19/63,2,19,2063,2
Memorial Day,Last Monday in May,5/28/63,5/28/63,5,28,2063,2
Juneteenth National Independence Day,Annual,6/19/63,6/19/63,6,19,2063,3
Independence Day,Annual,7/4/63,7/4/63,7,4,2063,4
Labor Day,First Monday in Sept,9/3/63,9/3/63,9,3,2063,2
Columbus Day,Second Monday in Oct,10/8/63,10/8/63,10,8,2063,2
Veterans Day,Annual,11/11/63,11/12/63,11,11,2063,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/63,11/22/63,11,22,2063,5
Christmas Day,Annual,12/25/63,12/25/63,12,25,2063,3
New Year's Day,Year Start,1/1/64,1/1/64,1,1,2064,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/64,1/21/64,1,21,2064,2
Washington's Birthday,Third Monday in Feb,2/18/64,2/18/64,2,18,2064,2
Memorial Day,Last Monday in May,5/26/64,5/26/64,5,26,2064,2
Juneteenth National Independence Day,Annual,6/19/64,6/19/64,6,19,2064,5
Independence Day,Annual,7/4/64,7/4/64,7,4,2064,6
Labor Day,First Monday in Sept,9/1/64,9/1/64,9,1,2064,2
Columbus Day,Second Monday in Oct,10/13/64,10/13/64,10,13,2064,2
Veterans Day,Annual,11/11/64,11/11/64,11,11,2064,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/64,11/27/64,11,27,2064,5
Christmas Day,Annual,12/25/64,12/25/64,12,25,2064,5
New Year's Day,Year Start,1/1/65,1/1/65,1,1,2065,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/65,1/19/65,1,19,2065,2
Washington's Birthday,Third Monday in Feb,2/16/65,2/16/65,2,16,2065,2
Memorial Day,Last Monday in May,5/25/65,5/25/65,5,25,2065,2
Juneteenth National Independence Day,Annual,6/19/65,6/19/65,6,19,2065,6
Independence Day,Annual,7/4/65,7/3/65,7,4,2065,7
Labor Day,First Monday in Sept,9/7/65,9/7/65,9,7,2065,2
Columbus Day,Second Monday in Oct,10/12/65,10/12/65,10,12,2065,2
Veterans Day,Annual,11/11/65,11/11/65,11,11,2065,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/65,11/26/65,11,26,2065,5
Christmas Day,Annual,12/25/65,12/25/65,12,25,2065,6
New Year's Day,Year Start,1/1/66,1/1/66,1,1,2066,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/66,1/18/66,1,18,2066,2
Washington's Birthday,Third Monday in Feb,2/15/66,2/15/66,2,15,2066,2
Memorial Day,Last Monday in May,5/24/66,5/24/66,5,24,2066,2
Juneteenth National Independence Day,Annual,6/19/66,6/18/66,6,19,2066,7
Independence Day,Annual,7/4/66,7/5/66,7,4,2066,1
Labor Day,First Monday in Sept,9/6/66,9/6/66,9,6,2066,2
Columbus Day,Second Monday in Oct,10/11/66,10/11/66,10,11,2066,2
Veterans Day,Annual,11/11/66,11/11/66,11,11,2066,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/66,11/25/66,11,25,2066,5
Christmas Day,Annual,12/25/66,12/24/66,12,25,2066,7
New Year's Day,Year Start,1/1/67,12/31/66,1,1,2067,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/67,1/17/67,1,17,2067,2
Washington's Birthday,Third Monday in Feb,2/21/67,2/21/67,2,21,2067,2
Memorial Day,Last Monday in May,5/23/67,5/23/67,5,23,2067,2
Juneteenth National Independence Day,Annual,6/19/67,6/20/67,6,19,2067,1
Independence Day,Annual,7/4/67,7/4/67,7,4,2067,2
Labor Day,First Monday in Sept,9/5/67,9/5/67,9,5,2067,2
Columbus Day,Second Monday in Oct,10/10/67,10/10/67,10,10,2067,2
Veterans Day,Annual,11/11/67,11/11/67,11,11,2067,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/67,11/24/67,11,24,2067,5
Christmas Day,Annual,12/25/67,12/26/67,12,25,2067,1
New Year's Day,Year Start,1/1/68,1/2/68,1,1,2068,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/68,1/16/68,1,16,2068,2
Washington's Birthday,Third Monday in Feb,2/20/68,2/20/68,2,20,2068,2
Memorial Day,Last Monday in May,5/28/68,5/28/68,5,28,2068,2
Juneteenth National Independence Day,Annual,6/19/68,6/19/68,6,19,2068,3
Independence Day,Annual,7/4/68,7/4/68,7,4,2068,4
Labor Day,First Monday in Sept,9/3/68,9/3/68,9,3,2068,2
Columbus Day,Second Monday in Oct,10/8/68,10/8/68,10,8,2068,2
Veterans Day,Annual,11/11/68,11/12/68,11,11,2068,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/68,11/22/68,11,22,2068,5
Christmas Day,Annual,12/25/68,12/25/68,12,25,2068,3
New Year's Day,Year Start,1/1/69,1/1/69,1,1,2069,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/69,1/21/69,1,21,2069,2
Washington's Birthday,Third Monday in Feb,2/18/69,2/18/69,2,18,2069,2
Memorial Day,Last Monday in May,5/27/69,5/27/69,5,27,2069,2
Juneteenth National Independence Day,Annual,6/19/69,6/19/69,6,19,2069,4
Independence Day,Annual,7/4/69,7/4/69,7,4,2069,5
Labor Day,First Monday in Sept,9/2/69,9/2/69,9,2,2069,2
Columbus Day,Second Monday in Oct,10/14/69,10/14/69,10,14,2069,2
Veterans Day,Annual,11/11/69,11/11/69,11,11,2069,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/69,11/28/69,11,28,2069,5
Christmas Day,Annual,12/25/69,12/25/69,12,25,2069,4
New Year's Day,Year Start,1/1/70,1/1/70,1,1,2070,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/70,1/20/70,1,20,2070,2
Washington's Birthday,Third Monday in Feb,2/17/70,2/17/70,2,17,2070,2
Memorial Day,Last Monday in May,5/26/70,5/26/70,5,26,2070,2
Juneteenth National Independence Day,Annual,6/19/70,6/19/70,6,19,2070,5
Independence Day,Annual,7/4/70,7/4/70,7,4,2070,6
Labor Day,First Monday in Sept,9/1/70,9/1/70,9,1,2070,2
Columbus Day,Second Monday in Oct,10/13/70,10/13/70,10,13,2070,2
Veterans Day,Annual,11/11/70,11/11/70,11,11,2070,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/70,11/27/70,11,27,2070,5
Christmas Day,Annual,12/25/70,12/25/70,12,25,2070,5
New Year's Day,Year Start,1/1/71,1/1/71,1,1,2071,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/71,1/19/71,1,19,2071,2
Washington's Birthday,Third Monday in Feb,2/16/71,2/16/71,2,16,2071,2
Memorial Day,Last Monday in May,5/25/71,5/25/71,5,25,2071,2
Juneteenth National Independence Day,Annual,6/19/71,6/19/71,6,19,2071,6
Independence Day,Annual,7/4/71,7/3/71,7,4,2071,7
Labor Day,First Monday in Sept,9/7/71,9/7/71,9,7,2071,2
Columbus Day,Second Monday in Oct,10/12/71,10/12/71,10,12,2071,2
Veterans Day,Annual,11/11/71,11/11/71,11,11,2071,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/71,11/26/71,11,26,2071,5
Christmas Day,Annual,12/25/71,12/25/71,12,25,2071,6
New Year's Day,Year Start,1/1/72,1/1/72,1,1,2072,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/72,1/18/72,1,18,2072,2
Washington's Birthday,Third Monday in Feb,2/15/72,2/15/72,2,15,2072,2
Memorial Day,Last Monday in May,5/23/72,5/23/72,5,23,2072,2
Juneteenth National Independence Day,Annual,6/19/72,6/20/72,6,19,2072,1
Independence Day,Annual,7/4/72,7/4/72,7,4,2072,2
Labor Day,First Monday in Sept,9/5/72,9/5/72,9,5,2072,2
Columbus Day,Second Monday in Oct,10/10/72,10/10/72,10,10,2072,2
Veterans Day,Annual,11/11/72,11/11/72,11,11,2072,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/72,11/24/72,11,24,2072,5
Christmas Day,Annual,12/25/72,12/26/72,12,25,2072,1
New Year's Day,Year Start,1/1/73,1/2/73,1,1,2073,1
